PLAYER,TEAM,INJURED ON,RETURNED,DAYS MISSED,INJURY TYPE
Justise Winslow,Heat,31 October 2019,05 November 2019,5,back injury
JJ Redick,76ers,09 April 2019,12 April 2019,3,back injury
Jimmy Butler,76ers,04 April 2019,09 April 2019,5,back injury
Kevin Huerter,Hawks,05 April 2019,07 April 2019,2,back injury
Jimmy Butler,76ers,01 April 2019,03 April 2019,2,back injury
Marc Gasol,Grizzlies,19 January 2019,21 January 2019,2,back injury
JJ Redick,76ers,08 January 2019,09 January 2019,1,back injury
Jordan Clarkson,Cavaliers,18 December 2018,19 December 2018,1,back injury
Pascal Siakam,Raptors,16 December 2018,19 December 2018,3,back injury
Jeff Green,Wizards,05 December 2018,08 December 2018,3,back injury
Tim Hardaway Jr.,Knicks,05 November 2018,07 November 2018,2,back injury
Ian Mahinmi,Wizards,24 October 2018,26 October 2018,2,back injury
Ben Simmons,76ers,23 October 2018,24 October 2018,1,back injury
Reggie Bullock,Pistons,13 March 2018,15 March 2018,2,back injury
Garrett Temple,Kings,26 February 2018,01 March 2018,3,back injury
Joel Embiid,76ers,30 December 2017,31 December 2017,1,back injury
Joel Embiid,76ers,10 December 2017,12 December 2017,2,back injury
Bojan Bogdanovic,Wizards,25 March 2017,28 March 2017,3,back injury
Victor Oladipo,Thunder,02 March 2017,07 March 2017,5,back injury
Al-Farouq Aminu,Blazers,10 December 2016,12 December 2016,2,back injury
Reggie Bullock,Pistons,07 November 2016,18 November 2016,11,back injury
Ivica Zubac,Lakers,10 November 2016,13 November 2016,3,back injury
Reggie Bullock,Pistons,26 October 2016,07 November 2016,12,back injury
Dwight Howard,Rockets,14 November 2015,16 November 2015,2,back injury
Mike Scott,Hawks,15 April 2015,19 April 2015,4,back injury
Trey Burke,Jazz,10 April 2015,15 April 2015,5,back injury
Doug McDermott,Bulls,25 March 2015,03 April 2015,9,back injury
Isaiah Thomas,Celtics,11 March 2015,25 March 2015,14,back injury
Goran Dragic,Heat,07 March 2015,11 March 2015,4,back injury
LeBron James,Cavaliers,27 February 2015,01 March 2015,2,back injury
Mike Scott,Hawks,12 November 2014,14 November 2014,2,back injury
JJ Redick,Clippers,05 February 2014,03 April 2014,57,back injury
Jonas Valanciunas,Raptors,19 March 2014,21 March 2014,2,back injury
Ersan Ilyasova,Bucks,19 March 2013,24 March 2013,5,back injury
Jeremy Lamb,Thunder,22 January 2013,20 February 2013,29,back injury
Cody Zeller,Heat,12 March 2023,28 March 2023,16,fractured nose
Khem Birch,Raptors,15 January 2022,03 February 2022,19,fractured nose
Torrey Craig,Bucks,29 December 2020,15 January 2021,17,fractured nose
Patrick McCaw,Raptors,24 January 2020,30 January 2020,6,fractured nose
Marvin Williams,Hornets,06 January 2020,10 January 2020,4,fractured nose
Ersan Ilyasova,Bucks,17 December 2018,04 January 2019,18,fractured nose
Mike Muscala,76ers,10 November 2018,12 November 2018,2,fractured nose
Mike Muscala,76ers,07 November 2018,10 November 2018,3,fractured nose
Wilson Chandler,Nuggets,01 April 2018,03 April 2018,2,fractured nose
Reggie Bullock,Pistons,10 February 2016,19 February 2016,9,fractured nose
Alex Len,Suns,04 April 2015,07 April 2015,3,fractured nose
Kyle Korver,Hawks,16 March 2015,22 March 2015,6,fractured nose
Ersan Ilyasova,Bucks,13 December 2014,23 December 2014,10,fractured nose
LeBron James,Heat,23 February 2014,27 February 2014,4,fractured nose
Joe Wieskamp,Raptors,22 March 2023,31 March 2023,9,strained right hamstring
Isaiah Todd,Wizards,04 December 2022,20 December 2022,16,strained right hamstring
Wesley Matthews,Bucks,16 November 2022,23 November 2022,7,strained right hamstring
Devin Booker,Suns,21 April 2022,28 April 2022,7,strained right hamstring
Romeo Langford,Spurs,08 March 2022,02 April 2022,25,strained right hamstring
Nikola Vucevic,Bulls,07 March 2022,09 March 2022,2,strained right hamstring
Carmelo Anthony,Lakers,04 February 2022,25 February 2022,21,strained right hamstring
Alex Caruso,Bulls,06 December 2021,11 December 2021,5,strained right hamstring
Cameron Payne,Suns,23 October 2021,06 November 2021,14,strained right hamstring
Mike Conley,Jazz,08 June 2021,18 June 2021,10,strained right hamstring
Will Barton,Nuggets,24 April 2021,09 June 2021,46,strained right hamstring
James Harden,Nets,06 April 2021,12 May 2021,36,strained right hamstring
Monte Morris,Nuggets,19 April 2021,11 May 2021,22,strained right hamstring
Richaun Holmes,Kings,14 April 2021,25 April 2021,11,strained right hamstring
Garrett Temple,Bulls,31 March 2021,14 April 2021,14,strained right hamstring
Keita Bates-Diop,Spurs,15 March 2021,11 April 2021,27,strained right hamstring
Jahmi'us Ramsey,Kings,19 March 2021,31 March 2021,12,strained right hamstring
PJ Dozier,Nuggets,26 January 2021,27 February 2021,32,strained right hamstring
Eric Bledsoe,Bucks,30 August 2020,02 September 2020,3,strained right hamstring
Jaylen Brown,Celtics,04 March 2020,29 July 2020,147,strained right hamstring
Brandon Knight,Pistons,08 March 2020,10 March 2020,2,strained right hamstring
Fred VanVleet,Raptors,07 January 2020,18 January 2020,11,strained right hamstring
Derrick Favors,Pelicans,11 January 2020,16 January 2020,5,strained right hamstring
Evan Turner,Hawks,21 December 2019,27 December 2019,6,strained right hamstring
Rodney McGruder,Clippers,01 December 2019,13 December 2019,12,strained right hamstring
Gary Trent Jr.,Blazers,25 November 2019,08 December 2019,13,strained right hamstring
Elfrid Payton,Knicks,29 October 2019,05 December 2019,37,strained right hamstring
John Henson,Cavaliers,28 October 2019,03 December 2019,36,strained right hamstring
Shabazz Napier,Timberwolves,18 November 2019,20 November 2019,2,strained right hamstring
Wesley Matthews,Pacers,01 April 2019,05 April 2019,4,strained right hamstring
Thabo Sefolosha,Jazz,07 January 2019,09 February 2019,33,strained right hamstring
Ricky Rubio,Jazz,08 January 2019,21 January 2019,13,strained right hamstring
Jeremy Lamb,Hornets,02 January 2019,08 January 2019,6,strained right hamstring
D.J. Wilson,Bucks,17 October 2018,05 December 2018,49,strained right hamstring
Derrick Jones Jr.,Heat,30 November 2018,04 December 2018,4,strained right hamstring
Tyler Johnson,Heat,20 November 2018,30 November 2018,10,strained right hamstring
Aron Baynes,Celtics,22 October 2018,30 October 2018,8,strained right hamstring
Harrison Barnes,Mavericks,14 October 2018,26 October 2018,12,strained right hamstring
Shabazz Napier,Nets,17 October 2018,24 October 2018,7,strained right hamstring
Jaylen Brown,Celtics,30 April 2018,03 May 2018,3,strained right hamstring
Damian Jones,Warriors,22 December 2017,27 January 2018,36,strained right hamstring
Damian Lillard,Blazers,21 December 2017,02 January 2018,12,strained right hamstring
Matthew Dellavedova,Bucks,30 December 2016,08 January 2017,9,strained right hamstring
Wayne Ellington,Heat,17 December 2016,27 December 2016,10,strained right hamstring
Rodney Hood,Jazz,01 December 2016,03 December 2016,2,strained right hamstring
Taj Gibson,Bulls,02 March 2016,05 March 2016,3,strained right hamstring
E'Twaun Moore,Bulls,25 January 2016,28 January 2016,3,strained right hamstring
Tyson Chandler,Suns,29 November 2015,13 December 2015,14,strained right hamstring
Michael Kidd-Gilchrist,Hornets,08 February 2015,21 February 2015,13,strained right hamstring
Jimmy Butler,Heat,02 May 2023,06 May 2023,4,sprained right ankle
Isaiah Roby,Knicks,15 April 2023,21 April 2023,6,sprained right ankle
Grayson Allen,Bucks,03 April 2023,16 April 2023,13,sprained right ankle
Tyrese Haliburton,Pacers,16 March 2023,24 March 2023,8,sprained right ankle
Brandon Ingram,Pelicans,11 March 2023,14 March 2023,3,sprained right ankle
JaVale McGee,Mavericks,07 March 2023,10 March 2023,3,sprained right ankle
D'Angelo Russell,Lakers,26 February 2023,09 March 2023,11,sprained right ankle
Isaiah Roby,Spurs,14 February 2023,03 March 2023,17,sprained right ankle
Anfernee Simons,Blazers,16 February 2023,01 March 2023,13,sprained right ankle
Marcus Smart,Celtics,24 January 2023,15 February 2023,22,sprained right ankle
Jeremiah Robinson-Earl,Thunder,14 December 2022,31 January 2023,48,sprained right ankle
Christian Wood,Mavericks,14 January 2023,15 January 2023,1,sprained right ankle
Jimmy Butler,Heat,26 December 2022,28 December 2022,2,sprained right ankle
Juan Toscano-Anderson,Lakers,11 December 2022,28 December 2022,17,sprained right ankle
Aaron Nesmith,Pacers,23 December 2022,26 December 2022,3,sprained right ankle
Darius Bazley,Thunder,13 November 2022,21 November 2022,8,sprained right ankle
Scottie Barnes,Raptors,24 October 2022,26 October 2022,2,sprained right ankle
Marcus Smart,Celtics,23 May 2022,25 May 2022,2,sprained right ankle
Isaiah Joe,76ers,08 May 2022,10 May 2022,2,sprained right ankle
Dewayne Dedmon,Heat,10 April 2022,17 April 2022,7,sprained right ankle
Nik Stauskas,Celtics,01 April 2022,16 April 2022,15,sprained right ankle
Kris Dunn,Blazers,08 April 2022,11 April 2022,3,sprained right ankle
Dewayne Dedmon,Heat,03 April 2022,08 April 2022,5,sprained right ankle
Rajon Rondo,Cavaliers,14 March 2022,03 April 2022,20,sprained right ankle
Frank Ntilikina,Mavericks,30 March 2022,01 April 2022,2,sprained right ankle
Aaron Nesmith,Celtics,05 March 2022,21 March 2022,16,sprained right ankle
Jimmy Butler,Heat,18 March 2022,21 March 2022,3,sprained right ankle
Lindell Wigginton,Bucks,09 March 2022,14 March 2022,5,sprained right ankle
Moe Harkless,Kings,07 March 2022,12 March 2022,5,sprained right ankle
Jalen Suggs,Magic,05 March 2022,09 March 2022,4,sprained right ankle
Aaron Wiggins,Thunder,01 March 2022,06 March 2022,5,sprained right ankle
Jaylen Brown,Celtics,02 March 2022,06 March 2022,4,sprained right ankle
Jared Butler,Jazz,24 February 2022,04 March 2022,8,sprained right ankle
Frank Ntilikina,Mavericks,27 February 2022,03 March 2022,4,sprained right ankle
Isaiah Jackson,Pacers,12 February 2022,25 February 2022,13,sprained right ankle
Lauri Markkanen,Cavaliers,23 January 2022,24 February 2022,32,sprained right ankle
Keon Johnson,Blazers,05 February 2022,23 February 2022,18,sprained right ankle
Landry Shamet,Suns,01 February 2022,23 February 2022,22,sprained right ankle
Marcus Smart,Celtics,16 February 2022,23 February 2022,7,sprained right ankle
Shai Gilgeous-Alexander,Thunder,29 January 2022,23 February 2022,25,sprained right ankle
Rui Hachimura,Wizards,16 February 2022,17 February 2022,1,sprained right ankle
Moe Harkless,Kings,09 February 2022,12 February 2022,3,sprained right ankle
Isaiah Jackson,Pacers,03 February 2022,11 February 2022,8,sprained right ankle
Isaiah Roby,Thunder,31 January 2022,11 February 2022,11,sprained right ankle
Patrick Beverley,Timberwolves,09 February 2022,11 February 2022,2,sprained right ankle
Doug McDermott,Spurs,03 February 2022,04 February 2022,1,sprained right ankle
Thomas Bryant,Wizards,02 February 2022,04 February 2022,2,sprained right ankle
Trent Forrest,Jazz,30 January 2022,02 February 2022,3,sprained right ankle
Brandon Ingram,Pelicans,23 January 2022,01 February 2022,9,sprained right ankle
Deandre Ayton,Suns,17 January 2022,01 February 2022,15,sprained right ankle
Patrick Beverley,Timberwolves,23 January 2022,01 February 2022,9,sprained right ankle
Dennis Smith Jr.,Blazers,26 January 2022,28 January 2022,2,sprained right ankle
Joe Ingles,Jazz,24 January 2022,25 January 2022,1,sprained right ankle
Aaron Nesmith,Celtics,19 January 2022,23 January 2022,4,sprained right ankle
Cam Reddish,Knicks,12 January 2022,23 January 2022,11,sprained right ankle
CJ Elleby,Blazers,17 January 2022,19 January 2022,2,sprained right ankle
Alperen Sengun,Rockets,01 January 2022,14 January 2022,13,sprained right ankle
Jimmy Butler,Heat,04 January 2022,14 January 2022,10,sprained right ankle
Luka Doncic,Mavericks,07 January 2022,09 January 2022,2,sprained right ankle
Nicolas Batum,Clippers,27 December 2021,06 January 2022,10,sprained right ankle
Cam Reddish,Hawks,03 January 2022,05 January 2022,2,sprained right ankle
Cole Anthony,Magic,17 December 2021,23 December 2021,6,sprained right ankle
Miye Oni,Jazz,20 December 2021,23 December 2021,3,sprained right ankle
Bogdan Bogdanovic,Hawks,28 November 2021,22 December 2021,24,sprained right ankle
JaMychal Green,Nuggets,13 December 2021,22 December 2021,9,sprained right ankle
Nicolas Batum,Clippers,11 December 2021,18 December 2021,7,sprained right ankle
Anfernee Simons,Blazers,03 December 2021,12 December 2021,9,sprained right ankle
Keldon Johnson,Spurs,09 December 2021,11 December 2021,2,sprained right ankle
Keita Bates-Diop,Spurs,04 December 2021,06 December 2021,2,sprained right ankle
Kenrich Williams,Thunder,02 December 2021,06 December 2021,4,sprained right ankle
Kenrich Williams,Thunder,28 November 2021,02 December 2021,4,sprained right ankle
Cole Anthony,Magic,24 November 2021,30 November 2021,6,sprained right ankle
Lamar Stevens,Cavaliers,13 November 2021,27 November 2021,14,sprained right ankle
Shai Gilgeous-Alexander,Thunder,22 November 2021,26 November 2021,4,sprained right ankle
Zeke Nnaji,Nuggets,18 November 2021,23 November 2021,5,sprained right ankle
Jimmy Butler,Heat,11 November 2021,17 November 2021,6,sprained right ankle
Giannis Antetokounmpo,Bucks,12 November 2021,14 November 2021,2,sprained right ankle
D'Angelo Russell,Timberwolves,02 November 2021,08 November 2021,6,sprained right ankle
Donovan Mitchell,Jazz,04 November 2021,06 November 2021,2,sprained right ankle
KZ Okpala,Heat,02 November 2021,06 November 2021,4,sprained right ankle
Terry Rozier,Hornets,24 October 2021,31 October 2021,7,sprained right ankle
Shake Milton,76ers,19 October 2021,28 October 2021,9,sprained right ankle
Andre Drummond,76ers,24 October 2021,26 October 2021,2,sprained right ankle
Dean Wade,Cavaliers,20 October 2021,22 October 2021,2,sprained right ankle
Sam Merrill,Bucks,14 July 2021,20 July 2021,6,sprained right ankle
Justin Jackson,Bucks,23 June 2021,25 June 2021,2,sprained right ankle
Sam Merrill,Bucks,09 June 2021,13 June 2021,4,sprained right ankle
Donovan Mitchell,Jazz,17 April 2021,26 May 2021,39,sprained right ankle
Furkan Korkmaz,76ers,07 May 2021,13 May 2021,6,sprained right ankle
Carmelo Anthony,Blazers,08 May 2021,11 May 2021,3,sprained right ankle
Jae Crowder,Suns,22 April 2021,07 May 2021,15,sprained right ankle
Giannis Antetokounmpo,Bucks,30 April 2021,02 May 2021,2,sprained right ankle
Nate Darling,Hornets,14 April 2021,01 May 2021,17,sprained right ankle
Tony Snell,Hawks,11 April 2021,30 April 2021,19,sprained right ankle
Furkan Korkmaz,76ers,22 April 2021,26 April 2021,4,sprained right ankle
Kentavious Caldwell-Pope,Lakers,24 April 2021,26 April 2021,2,sprained right ankle
Jimmy Butler,Heat,18 April 2021,21 April 2021,3,sprained right ankle
PJ Washington,Hornets,13 April 2021,18 April 2021,5,sprained right ankle
Jordan Clarkson,Jazz,08 April 2021,16 April 2021,8,sprained right ankle
Darius Garland,Cavaliers,11 April 2021,14 April 2021,3,sprained right ankle
Daniel Gafford,Wizards,30 March 2021,10 April 2021,11,sprained right ankle
Landry Shamet,Nets,05 April 2021,09 April 2021,4,sprained right ankle
Ty Jerome,Thunder,31 March 2021,02 April 2021,2,sprained right ankle
Zach LaVine,Bulls,31 March 2021,02 April 2021,2,sprained right ankle
Kendrick Nunn,Heat,28 March 2021,01 April 2021,4,sprained right ankle
Landry Shamet,Nets,22 March 2021,01 April 2021,10,sprained right ankle
Doug McDermott,Pacers,29 March 2021,31 March 2021,2,sprained right ankle
Reggie Bullock,Knicks,25 March 2021,29 March 2021,4,sprained right ankle
Christian Wood,Rockets,05 February 2021,17 March 2021,40,sprained right ankle
Theo Maledon,Thunder,14 March 2021,15 March 2021,1,sprained right ankle
Dario Saric,Suns,26 February 2021,28 February 2021,2,sprained right ankle
Terry Rozier,Hornets,01 February 2021,05 February 2021,4,sprained right ankle
Christian Wood,Rockets,21 January 2021,28 January 2021,7,sprained right ankle
Danilo Gallinari,Hawks,02 January 2021,22 January 2021,20,sprained right ankle
Cameron Payne,Suns,09 January 2021,18 January 2021,9,sprained right ankle
Goga Bitadze,Pacers,23 December 2020,17 January 2021,25,sprained right ankle
Josh Jackson,Pistons,04 January 2021,08 January 2021,4,sprained right ankle
James Harden,Rockets,02 January 2021,04 January 2021,2,sprained right ankle
Jahlil Okafor,Pistons,28 December 2020,01 January 2021,4,sprained right ankle
Jimmy Butler,Heat,26 December 2020,01 January 2021,6,sprained right ankle
Giannis Antetokounmpo,Bucks,05 September 2020,08 September 2020,3,sprained right ankle
Bruno Caboclo,Rockets,31 July 2020,09 August 2020,9,sprained right ankle
Dewan Hernandez,Raptors,05 March 2020,31 July 2020,148,sprained right ankle
Ky Bowman,Warriors,03 March 2020,10 March 2020,7,sprained right ankle
Dean Wade,Cavaliers,07 March 2020,08 March 2020,1,sprained right ankle
Thon Maker,Pistons,01 March 2020,04 March 2020,3,sprained right ankle
Dewan Hernandez,Raptors,22 December 2019,03 March 2020,72,sprained right ankle
Paul Millsap,Nuggets,01 March 2020,03 March 2020,2,sprained right ankle
Jordan Poole,Warriors,29 February 2020,01 March 2020,1,sprained right ankle
Naz Mitrou-Long,Pacers,25 February 2020,27 February 2020,2,sprained right ankle
Brandon Ingram,Pelicans,08 February 2020,20 February 2020,12,sprained right ankle
Daniel Gafford,Bulls,06 February 2020,20 February 2020,14,sprained right ankle
Luka Doncic,Mavericks,31 January 2020,12 February 2020,12,sprained right ankle
Daniel Theis,Celtics,05 February 2020,09 February 2020,4,sprained right ankle
Jaylen Brown,Celtics,07 February 2020,09 February 2020,2,sprained right ankle
Jerami Grant,Nuggets,05 February 2020,08 February 2020,3,sprained right ankle
RJ Barrett,Knicks,18 January 2020,06 February 2020,19,sprained right ankle
Rondae Hollis-Jefferson,Raptors,28 January 2020,05 February 2020,8,sprained right ankle
PJ Washington,Hornets,03 February 2020,04 February 2020,1,sprained right ankle
Jaylen Brown,Celtics,22 January 2020,26 January 2020,4,sprained right ankle
Glenn Robinson III,Warriors,18 January 2020,22 January 2020,4,sprained right ankle
Naz Mitrou-Long,Pacers,15 December 2019,14 January 2020,30,sprained right ankle
Draymond Green,Warriors,06 January 2020,07 January 2020,1,sprained right ankle
Trae Young,Hawks,28 December 2019,02 January 2020,5,sprained right ankle
Deandre Ayton,Suns,20 December 2019,30 December 2019,10,sprained right ankle
Mo Bamba,Magic,27 December 2019,30 December 2019,3,sprained right ankle
Dragan Bender,Bucks,08 December 2019,26 December 2019,18,sprained right ankle
Luka Doncic,Mavericks,16 December 2019,26 December 2019,10,sprained right ankle
Glenn Robinson III,Warriors,23 December 2019,25 December 2019,2,sprained right ankle
Anthony Davis,Lakers,17 December 2019,19 December 2019,2,sprained right ankle
Deandre Ayton,Suns,27 November 2019,17 December 2019,20,sprained right ankle
Danilo Gallinari,Thunder,09 December 2019,11 December 2019,2,sprained right ankle
Romeo Langford,Celtics,04 December 2019,11 December 2019,7,sprained right ankle
Ty Jerome,Suns,23 October 2019,02 December 2019,40,sprained right ankle
Serge Ibaka,Raptors,09 November 2019,01 December 2019,22,sprained right ankle
Brandon Knight,Cavaliers,20 November 2019,22 November 2019,2,sprained right ankle
Jonathan Isaac,Magic,15 November 2019,20 November 2019,5,sprained right ankle
Myles Turner,Pacers,01 November 2019,16 November 2019,15,sprained right ankle
D'Angelo Russell,Warriors,02 November 2019,08 November 2019,6,sprained right ankle
Alec Burks,Warriors,24 October 2019,30 October 2019,6,sprained right ankle
Rodney McGruder,Clippers,22 October 2019,30 October 2019,8,sprained right ankle
Joel Embiid,76ers,26 October 2019,28 October 2019,2,sprained right ankle
John Henson,Cavaliers,23 October 2019,26 October 2019,3,sprained right ankle
Mitchell Robinson,Knicks,23 October 2019,25 October 2019,2,sprained right ankle
Ryan Broekhoff,Mavericks,23 October 2019,25 October 2019,2,sprained right ankle
Stephen Curry,Warriors,10 April 2019,12 April 2019,2,sprained right ankle
Giannis Antetokounmpo,Bucks,31 March 2019,01 April 2019,1,sprained right ankle
Josh Jackson,Suns,23 March 2019,30 March 2019,7,sprained right ankle
Kyle Lowry,Raptors,20 March 2019,24 March 2019,4,sprained right ankle
Giannis Antetokounmpo,Bucks,19 March 2019,22 March 2019,3,sprained right ankle
Kevin Durant,Warriors,13 March 2019,18 March 2019,5,sprained right ankle
Kyle Kuzma,Lakers,06 March 2019,12 March 2019,6,sprained right ankle
Bruce Brown,Pistons,10 March 2019,11 March 2019,1,sprained right ankle
Darius Miller,Pelicans,22 February 2019,27 February 2019,5,sprained right ankle
Gordon Hayward,Celtics,21 February 2019,23 February 2019,2,sprained right ankle
Mike Muscala,Lakers,21 February 2019,23 February 2019,2,sprained right ankle
Elfrid Payton,Pelicans,06 February 2019,22 February 2019,16,sprained right ankle
Jaylen Adams,Hawks,09 February 2019,22 February 2019,13,sprained right ankle
Jerami Grant,Thunder,11 February 2019,22 February 2019,11,sprained right ankle
De'Anthony Melton,Suns,25 January 2019,20 February 2019,26,sprained right ankle
Cedi Osman,Cavaliers,05 February 2019,13 February 2019,8,sprained right ankle
Lonnie Walker IV,Spurs,07 February 2019,12 February 2019,5,sprained right ankle
Julius Randle,Pelicans,29 January 2019,06 February 2019,8,sprained right ankle
Zach LaVine,Bulls,30 January 2019,02 February 2019,3,sprained right ankle
Steven Adams,Thunder,29 January 2019,01 February 2019,3,sprained right ankle
Kent Bazemore,Hawks,31 December 2018,30 January 2019,30,sprained right ankle
Derrick Rose,Timberwolves,12 January 2019,15 January 2019,3,sprained right ankle
Christian Wood,Bucks,08 January 2019,11 January 2019,3,sprained right ankle
Derrick Rose,Timberwolves,08 January 2019,11 January 2019,3,sprained right ankle
Joe Harris,Nets,07 January 2019,09 January 2019,2,sprained right ankle
Derrick Rose,Timberwolves,30 December 2018,08 January 2019,9,sprained right ankle
Bobby Portis,Bulls,20 December 2018,06 January 2019,17,sprained right ankle
D.J. Augustin,Magic,31 December 2018,02 January 2019,2,sprained right ankle
Cheick Diallo,Pelicans,29 December 2018,31 December 2018,2,sprained right ankle
Julius Randle,Pelicans,19 December 2018,21 December 2018,2,sprained right ankle
Frank Jackson,Pelicans,28 November 2018,02 December 2018,4,sprained right ankle
Michael Kidd-Gilchrist,Hornets,13 November 2018,26 November 2018,13,sprained right ankle
Willy Hernangomez,Hornets,21 November 2018,23 November 2018,2,sprained right ankle
Rondae Hollis-Jefferson,Nets,16 November 2018,17 November 2018,1,sprained right ankle
Elfrid Payton,Pelicans,29 October 2018,16 November 2018,18,sprained right ankle
Jonathan Isaac,Magic,04 November 2018,14 November 2018,10,sprained right ankle
Taurean Prince,Hawks,06 November 2018,07 November 2018,1,sprained right ankle
Emmanuel Mudiay,Knicks,17 October 2018,29 October 2018,12,sprained right ankle
Dennis Smith Jr.,Mavericks,26 October 2018,28 October 2018,2,sprained right ankle
Mike Muscala,76ers,16 October 2018,23 October 2018,7,sprained right ankle
Larry Nance Jr.,Cavaliers,17 October 2018,21 October 2018,4,sprained right ankle
Matthew Dellavedova,Bucks,06 February 2018,11 April 2018,64,sprained right ankle
Troy Daniels,Suns,06 April 2018,08 April 2018,2,sprained right ankle
Jahlil Okafor,Nets,05 April 2018,07 April 2018,2,sprained right ankle
Goran Dragic,Heat,04 April 2018,06 April 2018,2,sprained right ankle
Derrick Rose,Timberwolves,26 March 2018,01 April 2018,6,sprained right ankle
Bam Adebayo,Heat,27 March 2018,29 March 2018,2,sprained right ankle
Giannis Antetokounmpo,Bucks,23 March 2018,25 March 2018,2,sprained right ankle
Stephen Curry,Warriors,09 March 2018,23 March 2018,14,sprained right ankle
Tristan Thompson,Cavaliers,05 March 2018,23 March 2018,18,sprained right ankle
Reggie Jackson,Pistons,28 December 2017,20 March 2018,82,sprained right ankle
Kyle Kuzma,Lakers,14 March 2018,16 March 2018,2,sprained right ankle
OG Anunoby,Raptors,02 March 2018,15 March 2018,13,sprained right ankle
Jordan Bell,Warriors,08 March 2018,14 March 2018,6,sprained right ankle
Justin Anderson,76ers,14 February 2018,06 March 2018,20,sprained right ankle
LaMarcus Aldridge,Spurs,03 March 2018,05 March 2018,2,sprained right ankle
Raul Neto,Jazz,23 February 2018,02 March 2018,7,sprained right ankle
Carmelo Anthony,Thunder,08 February 2018,13 February 2018,5,sprained right ankle
Garrett Temple,Kings,28 January 2018,30 January 2018,2,sprained right ankle
TJ Leaf,Pacers,26 January 2018,29 January 2018,3,sprained right ankle
Stephen Curry,Warriors,10 January 2018,13 January 2018,3,sprained right ankle
Anthony Davis,Pelicans,10 January 2018,12 January 2018,2,sprained right ankle
Derrick Favors,Jazz,10 January 2018,12 January 2018,2,sprained right ankle
Brook Lopez,Lakers,20 December 2017,03 January 2018,14,sprained right ankle
Stephen Curry,Warriors,06 December 2017,30 December 2017,24,sprained right ankle
Evan Fournier,Magic,09 December 2017,26 December 2017,17,sprained right ankle
Jonathan Isaac,Magic,20 November 2017,17 December 2017,27,sprained right ankle
Frank Kaminsky,Hornets,09 December 2017,11 December 2017,2,sprained right ankle
Kristaps Porzingis,Knicks,03 December 2017,06 December 2017,3,sprained right ankle
Rondae Hollis-Jefferson,Nets,27 November 2017,02 December 2017,5,sprained right ankle
David Nwaba,Bulls,07 November 2017,01 December 2017,24,sprained right ankle
Al-Farouq Aminu,Blazers,02 November 2017,30 November 2017,28,sprained right ankle
Nik Stauskas,76ers,11 November 2017,30 November 2017,19,sprained right ankle
Meyers Leonard,Blazers,01 November 2017,15 November 2017,14,sprained right ankle
Bogdan Bogdanovic,Pacers,18 October 2017,23 October 2017,5,sprained right ankle
DeMarcus Cousins,Pelicans,26 March 2017,29 March 2017,3,sprained right ankle
JJ Redick,Clippers,26 March 2017,29 March 2017,3,sprained right ankle
Brook Lopez,Nets,09 March 2017,12 March 2017,3,sprained right ankle
Rajon Rondo,Bulls,06 March 2017,08 March 2017,2,sprained right ankle
Kristaps Porzingis,Knicks,25 February 2017,01 March 2017,4,sprained right ankle
Tyson Chandler,Suns,11 February 2017,13 February 2017,2,sprained right ankle
DeMar DeRozan,Raptors,24 January 2017,29 January 2017,5,sprained right ankle
D.J. Augustin,Magic,24 January 2017,27 January 2017,3,sprained right ankle
Danilo Gallinari,Nuggets,19 January 2017,21 January 2017,2,sprained right ankle
Dejounte Murray,Spurs,14 January 2017,19 January 2017,5,sprained right ankle
Rajon Rondo,Bulls,13 December 2016,15 December 2016,2,sprained right ankle
Kyle O'Quinn,Knicks,11 December 2016,13 December 2016,2,sprained right ankle
Emmanuel Mudiay,Nuggets,08 December 2016,10 December 2016,2,sprained right ankle
Henry Ellenson,Pistons,02 December 2016,04 December 2016,2,sprained right ankle
Gary Harris,Nuggets,16 November 2016,25 November 2016,9,sprained right ankle
Christian Wood,Hornets,21 November 2016,23 November 2016,2,sprained right ankle
Myles Turner,Pacers,21 November 2016,23 November 2016,2,sprained right ankle
Jonas Valanciunas,Raptors,09 May 2016,23 May 2016,14,sprained right ankle
Stephen Curry,Warriors,18 April 2016,24 April 2016,6,sprained right ankle
Kyrie Irving,Cavaliers,03 April 2016,05 April 2016,2,sprained right ankle
Jae Crowder,Celtics,15 March 2016,31 March 2016,16,sprained right ankle
Alex Len,Suns,19 February 2016,21 February 2016,2,sprained right ankle
Carmelo Anthony,Knicks,13 January 2016,18 January 2016,5,sprained right ankle
D'Angelo Russell,Lakers,08 January 2016,12 January 2016,4,sprained right ankle
Austin Rivers,Clippers,26 December 2015,28 December 2015,2,sprained right ankle
Carmelo Anthony,Knicks,23 December 2015,26 December 2015,3,sprained right ankle
Kyle O'Quinn,Knicks,21 December 2015,26 December 2015,5,sprained right ankle
Jordan Clarkson,Lakers,11 December 2015,15 December 2015,4,sprained right ankle
Klay Thompson,Warriors,11 December 2015,12 December 2015,1,sprained right ankle
J.J. Barea,Mavericks,28 November 2015,09 December 2015,11,sprained right ankle
JJ Redick,Clippers,03 December 2015,07 December 2015,4,sprained right ankle
Seth Curry,Kings,09 November 2015,13 November 2015,4,sprained right ankle
Jeremy Lamb,Hornets,28 October 2015,30 October 2015,2,sprained right ankle
